having_IPhaving_IP_Address,URLURL_Length,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,Google_Index,MLP_Phishing,MLP_Probability,XGBoost_Phishing,XGBoost_Probability,status,url,time
-1,1,-1,-1,1,1,0,-1,1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,True,100.0,True,98.1986,phishing,https://support-appleld.com.secureupdate.duilawyeryork.com/ap/89e6a3b4b063b8d/?cmd=_update&dispatch=89e6a3b4b063b8d1b&locale=_,0.4856412410736084
-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,True,100.0,True,99.9996,phishing,http://phan.thuchao.free.fr/Hao/YouTube/ba.htm,1.4645235538482666
-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,True,100.0,False,0.7341,legitimate,http://taccs.hu,1.992755651473999
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,False,0.0,False,0.0003,legitimate,https://en.wikipedia.org/wiki/NIC_Bank,1.2716429233551025
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,False,0.0,False,0.0002,legitimate,https://www.markspcsolution.com/,2.6785624027252197
-1,1,-1,-1,-1,-1,0,0,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,True,100.0,False,0.0103,phishing,http://swallowthisbitchpics.com/jpg/www.global.visa.com/myca/oce/emea/action/request_type=un_Activation/visa.html,0.5301041603088379
-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,False,0.0,False,1.125,legitimate,https://www.soul-flower.com/,6.212480068206787
-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,False,0.0,False,0.0003,legitimate,http://www.whio.com/news/local/thief-breaks-into-save-lot-steals-steaks-dayton/dX1YgaOZ7zmj18bPd4tU6L/,4.568227767944336
-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,True,100.0,True,100.0,legitimate,http://sophie-world.com/games/port-and-starboard,1.697847604751587
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,False,0.0,False,0.0003,legitimate,https://en.wikipedia.org/wiki/Gateway,1.154144525527954
